ticker,title,game_date,home_team,away_team,kalshi_team_side,kalshi_prev_price,yes_bid,yes_ask,sb_prob_normed,gap,result,volume,yes_side_won
KXNBAGAME-26FEB11NYKPHI-PHI,New York at Philadelphia Winner?,2026-02-12,Philadelphia 76ers,New York Knicks,home,0.03,0.0,1.0,0.13580246913580246,0.10580246913580246,no,536962.00,0
KXNBAGAME-26FEB11MEMDEN-MEM,Memphis at Denver Winner?,2026-02-12,Denver Nuggets,Memphis Grizzlies,away,0.15,0.0,1.0,0.09385964912280703,-0.05614035087719296,no,422557.00,0
KXNBAGAME-26FEB11MIANOP-NOP,Miami at New Orleans Winner?,2026-02-12,Philadelphia 76ers,New York Knicks,away,0.03,0.0,1.0,0.972972972972973,0.942972972972973,no,310528.00,0
KXNBAGAME-26FEB11INDBKN-IND,Indiana at Brooklyn Winner?,2026-02-12,Brooklyn Nets,Indiana Pacers,away,0.49,0.0,1.0,0.1826625386996904,-0.3073374613003096,yes,379305.00,1
KXNBAGAME-26FEB11DETTOR-TOR,Detroit at Toronto Winner?,2026-02-12,Toronto Raptors,Detroit Pistons,home,0.02,0.0,1.0,0.34426229508196726,0.32426229508196724,no,634572.00,0
KXNBAGAME-26FEB11CHIBOS-CHI,Chicago at Boston Winner?,2026-02-12,Boston Celtics,Chicago Bulls,away,0.16,0.0,1.0,0.028848900314195947,-0.13115109968580405,no,298652.00,0
KXNBAGAME-26FEB11ATLCHA-CHA,Atlanta at Charlotte Winner?,2026-02-12,Charlotte Hornets,Atlanta Hawks,home,0.88,0.0,1.0,0.7274633123689728,-0.15253668763102723,yes,288303.00,1
KXNBAGAME-26FEB11MILORL-ORL,Milwaukee at Orlando Winner?,2026-02-12,Orlando Magic,Milwaukee Bucks,home,0.54,0.0,1.0,0.8138801261829653,0.2738801261829653,no,225127.00,0
KXNBAGAME-26FEB11LACHOU-LAC,Los Angeles C at Houston Winner?,2026-02-12,Houston Rockets,Los Angeles Clippers,away,0.54,0.0,1.0,0.1553398058252427,-0.38466019417475733,yes,311055.00,1
KXNBAGAME-26FEB12DALLAL-LAL,Dallas at Los Angeles L Winner?,2026-02-13,Los Angeles Lakers,Dallas Mavericks,home,0.76,0.0,1.0,0.6449275362318841,-0.11507246376811586,yes,369586.00,1
KXNBAGAME-26FEB12PORUTA-UTA,Portland at Utah Winner?,2026-02-13,Utah Jazz,Portland Trail Blazers,home,0.3,0.0,1.0,0.3832923832923833,0.08329238329238331,no,384948.00,0
KXNBAGAME-26FEB12MILOKC-OKC,Milwaukee at Oklahoma City Winner?,2026-02-13,Oklahoma City Thunder,Milwaukee Bucks,home,0.83,0.0,1.0,0.75,-0.07999999999999996,no,227705.00,0
KXNBAGAME-26FEB19ATLPHI-PHI,Atlanta at Philadelphia Winner?,2026-02-20,Philadelphia 76ers,Atlanta Hawks,home,0.53,0.0,1.0,0.4498714652956298,-0.0801285347043702,no,19136.00,0
KXNBAGAME-26FEB19TORCHI-TOR,Toronto at Chicago Winner?,2026-02-20,Chicago Bulls,Toronto Raptors,away,0.82,0.0,1.0,0.7274633123689728,-0.09253668763102718,yes,44014.00,1
KXNBAGAME-26FEB19PHXSAS-SAS,Phoenix at San Antonio Winner?,2026-02-20,San Antonio Spurs,Phoenix Suns,home,0.75,0.0,1.0,0.8675417661097852,0.11754176610978517,yes,9105.00,1
KXNBAGAME-26FEB19ORLSAC-SAC,Orlando at Sacramento Winner?,2026-02-20,Sacramento Kings,Orlando Magic,home,0.21,0.0,1.0,0.5342105263157895,0.3242105263157895,no,27037.00,0
KXNBAGAME-26FEB19DENLAC-LAC,Denver at Los Angeles C Winner?,2026-02-20,Los Angeles Clippers,Denver Nuggets,home,0.39,0.0,1.0,0.3482352941176471,-0.041764705882352926,yes,4496.00,1
KXNBAGAME-26FEB19HOUCHA-HOU,Houston at Charlotte Winner?,2026-02-20,Charlotte Hornets,Houston Rockets,away,0.64,0.0,1.0,0.39900249376558605,-0.24099750623441396,yes,6578.00,1
KXNBAGAME-26FEB19DETNYK-NYK,Detroit at New York Winner?,2026-02-20,New York Knicks,Detroit Pistons,home,0.69,0.0,1.0,0.537467700258398,-0.15253229974160198,no,6624.00,0
KXNBAGAME-26FEB19BOSGSW-GSW,Boston at Golden State Winner?,2026-02-20,Golden State Warriors,Boston Celtics,home,0.33,0.0,1.0,0.14285714285714285,-0.18714285714285717,no,19733.00,0
KXNBAGAME-26FEB19INDWAS-WAS,Indiana at Washington Winner?,2026-02-20,Washington Wizards,Indiana Pacers,home,0.74,0.0,1.0,0.4960422163588391,-0.24395778364116089,yes,26051.00,1
KXNBAGAME-26FEB19BKNCLE-CLE,Brooklyn at Cleveland Winner?,2026-02-20,Cleveland Cavaliers,Brooklyn Nets,home,0.99,0.0,1.0,0.9626064420584968,-0.02739355794150322,yes,14346.00,1
KXNBAGAME-26FEB20MILNOP-NOP,Milwaukee at New Orleans Winner?,2026-02-21,New Orleans Pelicans,Milwaukee Bucks,home,0.61,0.0,1.0,0.6365853658536585,0.02658536585365856,no,18282.00,0
KXNBAGAME-26FEB20MIAATL-MIA,Miami at Atlanta Winner?,2026-02-21,Atlanta Hawks,Miami Heat,away,0.78,0.0,1.0,0.7524177949709866,-0.02758220502901343,yes,83138.00,1
KXNBAGAME-26FEB20UTAMEM-UTA,Utah at Memphis Winner?,2026-02-21,Memphis Grizzlies,Utah Jazz,away,0.51,0.0,1.0,0.6140350877192983,0.10403508771929826,no,30173.00,0
KXNBAGAME-26FEB20DENPOR-POR,Denver at Portland Winner?,2026-02-21,Portland Trail Blazers,Denver Nuggets,home,0.47,0.0,1.0,0.25502008032128515,-0.21497991967871483,no,77257.00,0
KXNBAGAME-26FEB20DALMIN-MIN,Dallas at Minnesota Winner?,2026-02-21,Minnesota Timberwolves,Dallas Mavericks,home,0.85,0.0,1.0,0.937007874015748,0.08700787401574805,yes,20775.00,1
